,dataset,isMath,attack,advModel,advBalancing,model,modelDataset,balancing,acc,precision,recall,f1
77,bing,True,FGSM,alexnet,40/60,resnet,bing,30/70,0.75,0.7118644,0.84,0.77064216
78,bing,True,FGSM,alexnet,40/60,resnet,bing,40/60,0.765,0.75728154,0.78,0.7684729
79,bing,True,FGSM,alexnet,40/60,resnet,bing,50/50,0.745,0.79518074,0.66,0.7213115
80,bing,True,FGSM,alexnet,40/60,vgg,bing,20/80,0.705,0.6722689,0.8,0.7305936
81,bing,True,FGSM,alexnet,40/60,vgg,bing,30/70,0.72999996,0.7017544,0.8,0.74766356
82,bing,True,FGSM,alexnet,40/60,vgg,bing,40/60,0.74,0.76086956,0.7,0.7291667
83,bing,True,FGSM,alexnet,40/60,vgg,bing,50/50,0.75,0.80487806,0.66,0.72527474
84,bing,True,FGSM,alexnet,40/60,alexnet,ddg,20/80,0.555,0.53594774,0.82,0.6482214
85,bing,True,FGSM,alexnet,40/60,alexnet,ddg,30/70,0.55,0.5735294,0.39,0.46428573
86,bing,True,FGSM,alexnet,40/60,alexnet,ddg,40/60,0.505,0.50980395,0.26,0.34437084
87,bing,True,FGSM,alexnet,40/60,alexnet,ddg,50/50,0.545,0.6451613,0.2,0.3053435
88,bing,True,FGSM,alexnet,40/60,resnet,ddg,20/80,0.675,0.64,0.8,0.7111111
89,bing,True,FGSM,alexnet,40/60,resnet,ddg,30/70,0.755,0.9047619,0.57,0.6993865
90,bing,True,FGSM,alexnet,40/60,resnet,ddg,40/60,0.65,0.96875,0.31,0.46969697
91,bing,True,FGSM,alexnet,40/60,resnet,ddg,50/50,0.765,0.9491525,0.56,0.7044025
92,bing,True,FGSM,alexnet,40/60,vgg,ddg,20/80,0.72499996,0.6771653,0.86,0.7577092
93,bing,True,FGSM,alexnet,40/60,vgg,ddg,30/70,0.72999996,0.72115386,0.75,0.73529416
94,bing,True,FGSM,alexnet,40/60,vgg,ddg,40/60,0.705,0.79710144,0.55,0.6508876
95,bing,True,FGSM,alexnet,40/60,vgg,ddg,50/50,0.71,0.7837838,0.58,0.6666666
96,bing,True,FGSM,alexnet,40/60,alexnet,google,20/80,0.59999996,0.5862069,0.68,0.6296296
97,bing,True,FGSM,alexnet,40/60,alexnet,google,30/70,0.57,0.609375,0.39,0.47560972
98,bing,True,FGSM,alexnet,40/60,alexnet,google,40/60,0.575,0.6530612,0.32,0.42953017
99,bing,True,FGSM,alexnet,40/60,alexnet,google,50/50,0.59,0.6956522,0.32,0.43835616
100,bing,True,FGSM,alexnet,40/60,resnet,google,20/80,0.755,0.7007874,0.89,0.784141
101,bing,True,FGSM,alexnet,40/60,resnet,google,30/70,0.685,0.877551,0.43,0.5771812
102,bing,True,FGSM,alexnet,40/60,resnet,google,40/60,0.72499996,0.90909094,0.5,0.6451613
103,bing,True,FGSM,alexnet,40/60,resnet,google,50/50,0.705,0.9361702,0.44,0.5986395
104,bing,True,FGSM,alexnet,40/60,vgg,google,20/80,0.705,0.6694215,0.81,0.7330317
105,bing,True,FGSM,alexnet,40/60,vgg,google,30/70,0.74,0.76666665,0.69,0.72631574
106,bing,True,FGSM,alexnet,40/60,vgg,google,40/60,0.68,0.8,0.48,0.6
