,dataset,isMath,attack,advModel,advBalancing,model,modelDataset,balancing,acc,precision,recall,f1
78,bing,True,FGSM,vgg,20/80,resnet,bing,40/60,0.555,0.5341615,0.86,0.65900385
79,bing,True,FGSM,vgg,20/80,resnet,bing,50/50,0.59999996,0.58064514,0.72,0.6428572
80,bing,True,FGSM,vgg,20/80,vgg,bing,20/80,0.55,0.5277778,0.95,0.67857146
81,bing,True,FGSM,vgg,20/80,vgg,bing,30/70,0.59,0.56,0.84,0.672
82,bing,True,FGSM,vgg,20/80,vgg,bing,40/60,0.525,0.5531915,0.26,0.35374147
83,bing,True,FGSM,vgg,20/80,vgg,bing,50/50,0.53499997,0.6296296,0.17,0.26771653
84,bing,True,FGSM,vgg,20/80,alexnet,ddg,20/80,0.5,0.5,1.0,0.6666667
85,bing,True,FGSM,vgg,20/80,alexnet,ddg,30/70,0.53,0.52884614,0.55,0.5392157
86,bing,True,FGSM,vgg,20/80,alexnet,ddg,40/60,0.49499997,0.4964539,0.7,0.5809128
87,bing,True,FGSM,vgg,20/80,alexnet,ddg,50/50,0.49499997,0.45454547,0.05,0.090090096
88,bing,True,FGSM,vgg,20/80,resnet,ddg,20/80,0.575,0.5590551,0.71,0.6255506
89,bing,True,FGSM,vgg,20/80,resnet,ddg,30/70,0.52,0.55,0.22,0.31428573
90,bing,True,FGSM,vgg,20/80,resnet,ddg,40/60,0.48999998,0.25,0.01,0.01923077
91,bing,True,FGSM,vgg,20/80,resnet,ddg,50/50,0.545,0.6097561,0.25,0.35460994
92,bing,True,FGSM,vgg,20/80,vgg,ddg,20/80,0.545,0.5263158,0.9,0.6642067
93,bing,True,FGSM,vgg,20/80,vgg,ddg,30/70,0.525,0.5177305,0.73,0.6058091
94,bing,True,FGSM,vgg,20/80,vgg,ddg,40/60,0.48999998,0.33333334,0.02,0.03773585
95,bing,True,FGSM,vgg,20/80,vgg,ddg,50/50,0.5,0.5,0.03,0.056603774
96,bing,True,FGSM,vgg,20/80,alexnet,google,20/80,0.515,0.5176471,0.44,0.47567567
