,dataset,isMath,attack,advModel,advBalancing,model,modelDataset,balancing,acc,precision,recall,f1
89,bing,True,FGSM,vgg,20/80,resnet,ddg,30/70,0.575,0.6415094,0.34,0.44444442
90,bing,True,FGSM,vgg,20/80,resnet,ddg,40/60,0.49499997,0.42857143,0.03,0.056074765
91,bing,True,FGSM,vgg,20/80,resnet,ddg,50/50,0.60499996,0.6779661,0.4,0.5031447
92,bing,True,FGSM,vgg,20/80,vgg,ddg,20/80,0.515,0.50955415,0.8,0.62256813
93,bing,True,FGSM,vgg,20/80,vgg,ddg,30/70,0.51,0.5081967,0.62,0.5585585
94,bing,True,FGSM,vgg,20/80,vgg,ddg,40/60,0.505,0.5294118,0.09,0.15384614
95,bing,True,FGSM,vgg,20/80,vgg,ddg,50/50,0.515,0.61538464,0.08,0.14159292
96,bing,True,FGSM,vgg,20/80,alexnet,google,20/80,0.59999996,0.5793651,0.73,0.64601773
97,bing,True,FGSM,vgg,20/80,alexnet,google,30/70,0.53,0.5714286,0.24,0.3380282
98,bing,True,FGSM,vgg,20/80,alexnet,google,40/60,0.585,0.70731705,0.29,0.41134748
99,bing,True,FGSM,vgg,20/80,alexnet,google,50/50,0.53499997,0.5945946,0.22,0.3211679
100,bing,True,FGSM,vgg,20/80,resnet,google,20/80,0.52,0.5113636,0.9,0.6521739
101,bing,True,FGSM,vgg,20/80,resnet,google,30/70,0.51,0.51666665,0.31,0.38750002
102,bing,True,FGSM,vgg,20/80,resnet,google,40/60,0.545,0.59574467,0.28,0.38095236
103,bing,True,FGSM,vgg,20/80,resnet,google,50/50,0.515,0.54285717,0.19,0.28148147
104,bing,True,FGSM,vgg,20/80,vgg,google,20/80,0.53499997,0.528,0.66,0.5866667
105,bing,True,FGSM,vgg,20/80,vgg,google,30/70,0.53499997,0.53932583,0.48,0.5079365
106,bing,True,FGSM,vgg,20/80,vgg,google,40/60,0.515,0.5405405,0.2,0.2919708
107,bing,True,FGSM,vgg,20/80,vgg,google,50/50,0.5,0.5,0.06,0.10714285
108,bing,True,FGSM,vgg,50/50,alexnet,bing,20/80,0.615,0.6,0.69,0.6418605
109,bing,True,FGSM,vgg,50/50,alexnet,bing,30/70,0.55,0.57575756,0.38,0.4578313
110,bing,True,FGSM,vgg,50/50,alexnet,bing,40/60,0.53,0.71428573,0.1,0.1754386
111,bing,True,FGSM,vgg,50/50,alexnet,bing,50/50,0.61,0.67741936,0.42,0.5185185
112,bing,True,FGSM,vgg,50/50,resnet,bing,20/80,0.5,0.5,0.99,0.66442955
113,bing,True,FGSM,vgg,50/50,resnet,bing,30/70,0.585,0.5534591,0.88,0.6795367
114,bing,True,FGSM,vgg,50/50,resnet,bing,40/60,0.58,0.55263156,0.84,0.6666666
115,bing,True,FGSM,vgg,50/50,resnet,bing,50/50,0.625,0.60162604,0.74,0.66367716
116,bing,True,FGSM,vgg,50/50,vgg,bing,20/80,0.55,0.5294118,0.9,0.6666667
117,bing,True,FGSM,vgg,50/50,vgg,bing,30/70,0.56,0.5441176,0.74,0.6271186
118,bing,True,FGSM,vgg,50/50,vgg,bing,40/60,0.53,0.56,0.28,0.37333333
119,bing,True,FGSM,vgg,50/50,vgg,bing,50/50,0.51,0.5294118,0.18,0.26865673
