,dataset,isMath,attack,advModel,advBalancing,model,modelDataset,balancing,acc,precision,recall,f1
79,bing,True,FGSM,alexnet,40/60,resnet,bing,50/50,0.625,0.704918,0.43,0.5341615
80,bing,True,FGSM,alexnet,40/60,vgg,bing,20/80,0.58,0.54651165,0.94,0.6911764
81,bing,True,FGSM,alexnet,40/60,vgg,bing,30/70,0.60499996,0.5704698,0.85,0.682731
82,bing,True,FGSM,alexnet,40/60,vgg,bing,40/60,0.59,0.59183675,0.58,0.5858586
83,bing,True,FGSM,alexnet,40/60,vgg,bing,50/50,0.555,0.61702126,0.29,0.39455777
84,bing,True,FGSM,alexnet,40/60,alexnet,ddg,20/80,0.505,0.5025381,0.99,0.6666667
85,bing,True,FGSM,alexnet,40/60,alexnet,ddg,30/70,0.48,0.4090909,0.09,0.14754099
86,bing,True,FGSM,alexnet,40/60,alexnet,ddg,40/60,0.39,0.3472222,0.25,0.29069766
87,bing,True,FGSM,alexnet,40/60,alexnet,ddg,50/50,0.505,0.6666667,0.02,0.03883495
88,bing,True,FGSM,alexnet,40/60,resnet,ddg,20/80,0.515,0.5123967,0.62,0.561086
89,bing,True,FGSM,alexnet,40/60,resnet,ddg,30/70,0.59,0.78125,0.25,0.37878788
90,bing,True,FGSM,alexnet,40/60,resnet,ddg,40/60,0.51,1.0,0.02,0.039215688
91,bing,True,FGSM,alexnet,40/60,resnet,ddg,50/50,0.58,0.76666665,0.23,0.35384616
92,bing,True,FGSM,alexnet,40/60,vgg,ddg,20/80,0.565,0.5448276,0.79,0.64489794
93,bing,True,FGSM,alexnet,40/60,vgg,ddg,30/70,0.62,0.6132075,0.65,0.631068
94,bing,True,FGSM,alexnet,40/60,vgg,ddg,40/60,0.505,0.53333336,0.08,0.13913043
95,bing,True,FGSM,alexnet,40/60,vgg,ddg,50/50,0.52,0.7,0.07,0.12727273
96,bing,True,FGSM,alexnet,40/60,alexnet,google,20/80,0.47,0.4651163,0.4,0.43010756
97,bing,True,FGSM,alexnet,40/60,alexnet,google,30/70,0.47,0.3846154,0.1,0.15873016
98,bing,True,FGSM,alexnet,40/60,alexnet,google,40/60,0.48499998,0.44,0.11,0.176
99,bing,True,FGSM,alexnet,40/60,alexnet,google,50/50,0.505,0.51428574,0.18,0.26666668
100,bing,True,FGSM,alexnet,40/60,resnet,google,20/80,0.48,0.48765433,0.79,0.60305345
101,bing,True,FGSM,alexnet,40/60,resnet,google,30/70,0.525,0.6923077,0.09,0.15929204
102,bing,True,FGSM,alexnet,40/60,resnet,google,40/60,0.515,0.5882353,0.1,0.17094018
103,bing,True,FGSM,alexnet,40/60,resnet,google,50/50,0.52,0.7,0.07,0.12727273
104,bing,True,FGSM,alexnet,40/60,vgg,google,20/80,0.555,0.5478261,0.63,0.5860465
105,bing,True,FGSM,alexnet,40/60,vgg,google,30/70,0.57,0.60294116,0.41,0.48809522
106,bing,True,FGSM,alexnet,40/60,vgg,google,40/60,0.505,0.5217391,0.12,0.19512196
107,bing,True,FGSM,alexnet,40/60,vgg,google,50/50,0.5,0.5,0.07,0.12280702
108,bing,True,FGSM,alexnet,50/50,alexnet,bing,20/80,0.48,0.48214287,0.54,0.509434
109,bing,True,FGSM,alexnet,50/50,alexnet,bing,30/70,0.39,0.2962963,0.16,0.20779221
110,bing,True,FGSM,alexnet,50/50,alexnet,bing,40/60,0.48499998,0.2,0.01,0.01904762
111,bing,True,FGSM,alexnet,50/50,alexnet,bing,50/50,0.45499998,0.44,0.33,0.37714288
112,bing,True,FGSM,alexnet,50/50,resnet,bing,20/80,0.505,0.5025381,0.99,0.6666667
113,bing,True,FGSM,alexnet,50/50,resnet,bing,30/70,0.645,0.60431653,0.84,0.70292884
114,bing,True,FGSM,alexnet,50/50,resnet,bing,40/60,0.625,0.5912409,0.81,0.68354434
115,bing,True,FGSM,alexnet,50/50,resnet,bing,50/50,0.7,0.82258064,0.51,0.6296297
116,bing,True,FGSM,alexnet,50/50,vgg,bing,20/80,0.565,0.5355191,0.98,0.6925795
117,bing,True,FGSM,alexnet,50/50,vgg,bing,30/70,0.635,0.58709675,0.91,0.7137255
118,bing,True,FGSM,alexnet,50/50,vgg,bing,40/60,0.625,0.6213592,0.64,0.63054186
119,bing,True,FGSM,alexnet,50/50,vgg,bing,50/50,0.56,0.65,0.26,0.37142855
120,bing,True,FGSM,alexnet,50/50,alexnet,ddg,20/80,0.505,0.5025381,0.99,0.6666667
121,bing,True,FGSM,alexnet,50/50,alexnet,ddg,30/70,0.48,0.42307693,0.11,0.17460316
122,bing,True,FGSM,alexnet,50/50,alexnet,ddg,40/60,0.39,0.35135135,0.26,0.29885054
123,bing,True,FGSM,alexnet,50/50,alexnet,ddg,50/50,0.505,0.6666667,0.02,0.03883495
124,bing,True,FGSM,alexnet,50/50,resnet,ddg,20/80,0.62,0.5895522,0.79,0.6752137
125,bing,True,FGSM,alexnet,50/50,resnet,ddg,30/70,0.59999996,0.8125,0.26,0.39393938
126,bing,True,FGSM,alexnet,50/50,resnet,ddg,40/60,0.515,1.0,0.03,0.058252428
127,bing,True,FGSM,alexnet,50/50,resnet,ddg,50/50,0.60499996,0.92,0.23,0.36800003
128,bing,True,FGSM,alexnet,50/50,vgg,ddg,20/80,0.59999996,0.5694444,0.82,0.6721312
129,bing,True,FGSM,alexnet,50/50,vgg,ddg,30/70,0.65,0.6442308,0.67,0.65686274
130,bing,True,FGSM,alexnet,50/50,vgg,ddg,40/60,0.53,0.75,0.09,0.16071428
131,bing,True,FGSM,alexnet,50/50,vgg,ddg,50/50,0.53499997,0.8888889,0.08,0.146789
132,bing,True,FGSM,alexnet,50/50,alexnet,google,20/80,0.48,0.47727272,0.42,0.4468085
133,bing,True,FGSM,alexnet,50/50,alexnet,google,30/70,0.5,0.5,0.13,0.2063492
134,bing,True,FGSM,alexnet,50/50,alexnet,google,40/60,0.53499997,0.6060606,0.2,0.3007519
135,bing,True,FGSM,alexnet,50/50,alexnet,google,50/50,0.505,0.51282054,0.2,0.2877698
136,bing,True,FGSM,alexnet,50/50,resnet,google,20/80,0.53999996,0.52469134,0.85,0.6488549
137,bing,True,FGSM,alexnet,50/50,resnet,google,30/70,0.555,0.8666667,0.13,0.22608696
138,bing,True,FGSM,alexnet,50/50,resnet,google,40/60,0.53999996,0.78571427,0.11,0.19298245
139,bing,True,FGSM,alexnet,50/50,resnet,google,50/50,0.525,0.85714287,0.06,0.11214953
140,bing,True,FGSM,alexnet,50/50,vgg,google,20/80,0.615,0.59504133,0.72,0.6515838
141,bing,True,FGSM,alexnet,50/50,vgg,google,30/70,0.59,0.6363636,0.42,0.50602406
142,bing,True,FGSM,alexnet,50/50,vgg,google,40/60,0.53,0.75,0.09,0.16071428
143,bing,True,FGSM,alexnet,50/50,vgg,google,50/50,0.52,0.8333333,0.05,0.094339624
144,bing,True,FGSM,resnet,20/80,alexnet,bing,20/80,0.625,0.61904764,0.65,0.63414633
145,bing,True,FGSM,resnet,20/80,alexnet,bing,30/70,0.59499997,0.64615387,0.42,0.5090909
146,bing,True,FGSM,resnet,20/80,alexnet,bing,40/60,0.59499997,0.8518519,0.23,0.36220476
147,bing,True,FGSM,resnet,20/80,alexnet,bing,50/50,0.59,0.63235295,0.43,0.5119048
148,bing,True,FGSM,resnet,20/80,resnet,bing,20/80,0.5,0.5,1.0,0.6666667
149,bing,True,FGSM,resnet,20/80,resnet,bing,30/70,0.505,0.5031056,0.81,0.62068963
150,bing,True,FGSM,resnet,20/80,resnet,bing,40/60,0.47,0.48026314,0.73,0.5793651
151,bing,True,FGSM,resnet,20/80,resnet,bing,50/50,0.53499997,0.5304348,0.61,0.5674419
152,bing,True,FGSM,resnet,20/80,vgg,bing,20/80,0.575,0.5405405,1.0,0.7017544
153,bing,True,FGSM,resnet,20/80,vgg,bing,30/70,0.59999996,0.5574713,0.97,0.7080292
154,bing,True,FGSM,resnet,20/80,vgg,bing,40/60,0.60499996,0.6060606,0.6,0.60301507
155,bing,True,FGSM,resnet,20/80,vgg,bing,50/50,0.61,0.63414633,0.52,0.57142854
156,bing,True,FGSM,resnet,20/80,alexnet,ddg,20/80,0.51,0.5050505,1.0,0.67114097
157,bing,True,FGSM,resnet,20/80,alexnet,ddg,30/70,0.695,0.7241379,0.63,0.6737968
158,bing,True,FGSM,resnet,20/80,alexnet,ddg,40/60,0.525,0.52136755,0.61,0.562212
159,bing,True,FGSM,resnet,20/80,alexnet,ddg,50/50,0.58,0.8076923,0.21,0.3333333
