,dataset,isMath,attack,advModel,advBalancing,model,modelDataset,balancing,acc,precision,recall,f1
93,google,,,,,vgg,ddg,30/70,0.97150004,0.95380175,0.991,0.9720451
94,google,,,,,vgg,ddg,40/60,0.98450005,0.98693466,0.982,0.9844612
95,google,,,,,vgg,ddg,50/50,0.97950006,0.975223,0.984,0.97959185
96,google,,,,,alexnet,google,20/80,0.938,0.9070632,0.976,0.9402697
97,google,,,,,alexnet,google,30/70,0.94850004,0.93501455,0.964,0.9492861
98,google,,,,,alexnet,google,40/60,0.9495,0.9411187,0.959,0.9499752
99,google,,,,,alexnet,google,50/50,0.9495,0.95266867,0.946,0.94932264
100,google,,,,,resnet,google,20/80,0.95250005,0.9185939,0.993,0.9543488
101,google,,,,,resnet,google,30/70,0.975,0.96568626,0.985,0.97524756
102,google,,,,,resnet,google,40/60,0.9760001,0.969428,0.983,0.97616684
103,google,,,,,resnet,google,50/50,0.98050004,0.9790628,0.982,0.9805292
104,google,,,,,vgg,google,20/80,0.97200006,0.95384616,0.992,0.9725491
105,google,,,,,vgg,google,30/70,0.975,0.96206224,0.989,0.9753452
106,google,,,,,vgg,google,40/60,0.98300004,0.9810757,0.985,0.98303396
107,google,,,,,vgg,google,50/50,0.98550004,0.9899092,0.981,0.98543453
108,bing,False,BoxBlur,,,alexnet,bing,20/80,0.93250006,0.9178744,0.95,0.9336609
109,bing,False,BoxBlur,,,alexnet,bing,30/70,0.93050003,0.9352882,0.925,0.93011564
110,bing,False,BoxBlur,,,alexnet,bing,40/60,0.93900007,0.96308017,0.913,0.9373717
111,bing,False,BoxBlur,,,alexnet,bing,50/50,0.938,0.94331986,0.932,0.93762577
112,bing,False,BoxBlur,,,resnet,bing,20/80,0.95350003,0.92742693,0.984,0.95487624
113,bing,False,BoxBlur,,,resnet,bing,30/70,0.96150005,0.95200783,0.972,0.9619
114,bing,False,BoxBlur,,,resnet,bing,40/60,0.96250004,0.96954316,0.955,0.9622166
115,bing,False,BoxBlur,,,resnet,bing,50/50,0.9620001,0.95652175,0.968,0.9622267
116,bing,False,BoxBlur,,,vgg,bing,20/80,0.9595001,0.9314554,0.992,0.9607748
117,bing,False,BoxBlur,,,vgg,bing,30/70,0.96450007,0.9444976,0.987,0.9652811
118,bing,False,BoxBlur,,,vgg,bing,40/60,0.97200006,0.96548325,0.979,0.9721946
119,bing,False,BoxBlur,,,vgg,bing,50/50,0.97,0.9635109,0.977,0.9702085
120,bing,False,BoxBlur,,,alexnet,ddg,20/80,0.915,0.86987525,0.976,0.9198869
121,bing,False,BoxBlur,,,alexnet,ddg,30/70,0.93900007,0.9221154,0.959,0.94019604
122,bing,False,BoxBlur,,,alexnet,ddg,40/60,0.94100004,0.939243,0.943,0.94111776
123,bing,False,BoxBlur,,,alexnet,ddg,50/50,0.93200004,0.91698843,0.95,0.9332023
124,bing,False,BoxBlur,,,resnet,ddg,20/80,0.9365001,0.9023042,0.979,0.9390887
125,bing,False,BoxBlur,,,resnet,ddg,30/70,0.95350003,0.9323165,0.978,0.954612
126,bing,False,BoxBlur,,,resnet,ddg,40/60,0.9635,0.96770936,0.959,0.963335
127,bing,False,BoxBlur,,,resnet,ddg,50/50,0.952,0.9329502,0.974,0.95303327
128,bing,False,BoxBlur,,,vgg,ddg,20/80,0.94250005,0.9011786,0.994,0.94531626
129,bing,False,BoxBlur,,,vgg,ddg,30/70,0.95550007,0.9260992,0.99,0.95698404
130,bing,False,BoxBlur,,,vgg,ddg,40/60,0.9710001,0.9635827,0.979,0.9712302
131,bing,False,BoxBlur,,,vgg,ddg,50/50,0.966,0.95866144,0.974,0.96626985
132,bing,False,BoxBlur,,,alexnet,google,20/80,0.9215,0.881448,0.974,0.92541564
133,bing,False,BoxBlur,,,alexnet,google,30/70,0.9315,0.9097816,0.958,0.93326837
134,bing,False,BoxBlur,,,alexnet,google,40/60,0.94250005,0.9250721,0.963,0.94365513
135,bing,False,BoxBlur,,,alexnet,google,50/50,0.9455,0.9459459,0.945,0.9454727
136,bing,False,BoxBlur,,,resnet,google,20/80,0.9355,0.8919892,0.991,0.9388915
137,bing,False,BoxBlur,,,resnet,google,30/70,0.96000004,0.95009786,0.971,0.9604352
138,bing,False,BoxBlur,,,resnet,google,40/60,0.966,0.95776033,0.975,0.9663033
139,bing,False,BoxBlur,,,resnet,google,50/50,0.966,0.96414346,0.968,0.96606785
140,bing,False,BoxBlur,,,vgg,google,20/80,0.95900005,0.92657995,0.997,0.96050096
141,bing,False,BoxBlur,,,vgg,google,30/70,0.96250004,0.93838865,0.99,0.9635037
142,bing,False,BoxBlur,,,vgg,google,40/60,0.96650004,0.956905,0.977,0.9668481
